"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Colombia","COL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","575648","","","","","450690","","","","","","","","62143","67260","180420","165836","","56840","","","","","18281","51099","58574","98453","","","64430","76662","41597","32218","",
"Comoros","COM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","9795","","","","","","","14168","","","","","19185","16865","","","","","","","11732","","","","","","7970","8261","","","9185","","",
"Cabo Verde","CPV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","2813","3256","4094","2160","1511","1139","694","","","","","","","","","","","","","","899","1066","1290","1616","1271","791","1063","1365","1726","1937","2452","2288","2340","2348","2269","2505","2406","2238","",
"Costa Rica","CRI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","24582","","21093","19254","","16019","12122","","14262","16469","16358","15867","18813","","","25919","24855","25536","","26764","27305","26734","","","","","","","","","","","","","","","","","","","","","","767","4940","4147","2970","6898","","",
"Caribbean small states","CSS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","26138","26369","25068","24063","22072","30141","36016","26652","25553","25527","31137","28788","24248","21083","21844","22549","22911","18765","19443","13495","21093","31213","32848","37122","35680","33453","32373","31230","27141","25574","24366","26780","31380","31906","26246","27859","28834","27583","24906","27742","25431","23330","23672","25764","25195","21051","27351","30296","31813","",
"Cuba","CUB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","44589","40287","36146","","","","","","25101","38137","45025","44711","48230","56509","50630","39769","39130","36470","35347","36763","26013","22951","13063","13958","7274","9035","8383","5036","4244","","","7324","9618","12626","15072","14660","14582","7600","4931","5982","8010","8098","17890","21934","19937","15874","8272","",
"Curacao","CUW","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","7788","8085","7980","8190","10244","10940","11027","10567","10068","10113","9116","10047","10169","10187","9954","8518","7308","7058","7229","7572","7733","8670","715","1003","1217","1296","1138","","","511","588","294","226","277","","","","","","","","349","410","478","332","","","","",
"Czech Republic","CZE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1933","815","2005","1209","","","","","",
